epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.554,2.39301,3.8458,2.69881,1.51602,0.24205,0.16619,0.16485,0.087,0.24692,0.16805,0.16111,0.07019,2.23833,3.57089,1.85662,1.20658,0.000551962,0.000551962,0.000551962
2,615.416,2.12132,3.4089,1.87918,1.32239,0.27137,0.21433,0.20102,0.1063,0.27632,0.20177,0.19694,0.08824,2.12548,3.4393,1.62138,1.1854,0.00109666,0.00109666,0.00109666
3,1070.62,2.0538,3.36254,1.73107,1.30165,0.31612,0.22352,0.21301,0.10575,0.30648,0.21452,0.20122,0.08334,2.12981,3.39984,1.59182,1.25082,0.00163036,0.00163036,0.00163036
4,1280.68,1.97586,3.30666,1.63344,1.28318,0.33483,0.29223,0.25341,0.12304,0.32341,0.26555,0.22661,0.08844,2.03981,3.33664,1.48164,1.16872,0.00161749,0.00161749,0.00161749
5,1583.33,1.98345,3.22741,1.62526,1.26023,0.37018,0.24115,0.26991,0.14771,0.36769,0.23641,0.26266,0.12224,1.9677,3.18991,1.41917,1.13894,0.00160099,0.00160099,0.00160099
6,1744.67,1.93717,3.17473,1.55499,1.25647,0.36471,0.28125,0.2871,0.15083,0.32852,0.25627,0.2466,0.10675,1.93077,3.3591,1.38311,1.14932,0.00158448,0.00158448,0.00158448
7,2068.65,1.9206,3.11199,1.54694,1.23858,0.43819,0.22282,0.26202,0.13858,0.4372,0.20498,0.24436,0.1125,1.96194,3.17282,1.47354,1.14796,0.00156798,0.00156798,0.00156798
8,2210.11,1.8831,3.13836,1.48757,1.24255,0.37713,0.28229,0.28939,0.14087,0.35802,0.26105,0.25402,0.10504,1.96066,3.23959,1.37403,1.14742,0.00155148,0.00155148,0.00155148
9,2784.82,1.858,3.06761,1.46382,1.23081,0.38805,0.26495,0.28956,0.16266,0.39072,0.25124,0.28453,0.12872,1.88781,3.09934,1.33348,1.10989,0.00153497,0.00153497,0.00153497
10,2999.18,1.85631,3.07107,1.43531,1.21701,0.40725,0.26934,0.29014,0.1531,0.40857,0.26045,0.28191,0.11936,1.91965,3.0965,1.32917,1.12915,0.00151847,0.00151847,0.00151847
